,trial_num,image,is_repeat,type,Image Index,Block
0,1,F_R2,True,filler,Target-1028,9
1,2,T2_15,False,target,Target-149,9
2,3,F_S16,False,filler,Filler-3434,9
3,4,T1_4,False,target,Filler-3966,9
4,5,F_S6,False,filler,Filler-3108,9
5,6,T4_15,False,target,Filler-5923,9
6,7,T1_11,False,target,Filler-2340,9
7,8,F_S4,False,filler,Filler-3020,9
8,9,F_S8,False,filler,Filler-3167,9
9,10,T2_3,False,target,Filler-1552,9
10,11,T4_8,False,target,Filler-826,9
11,12,T1_14,False,target,Filler-4558,9
12,13,T2_11,False,target,Filler-975,9
13,14,T2_13,False,target,Target-2103,9
14,15,F_R3,False,filler,Target-1206,9
15,16,F_S13,False,filler,Filler-3317,9
16,17,F_R4,False,filler,Target-1249,9
17,18,F_R3,True,filler,Target-1206,9
18,19,T4_1,False,target,Filler-1587,9
19,20,F_R4,True,filler,Target-1249,9
20,21,T2_14,False,target,Filler-7343,9
21,22,T3_7,False,target,Filler-4319,9
22,23,F_S18,False,filler,Filler-3597,9
23,24,F_S12,False,filler,Filler-3296,9
24,25,T3_2,False,target,Filler-1856,9
25,26,T1_7,False,target,Filler-6140,9
26,27,T4_6,False,target,Filler-6246,9
27,28,F_S15,False,filler,Filler-3382,9
28,29,F_S1,False,filler,Filler-2967,9
29,30,T1_11,True,target,Filler-2340,9
30,31,T3_13,True,target,Target-570,9
31,32,T1_14,True,target,Filler-4558,9
32,33,T4_13,False,target,Filler-1455,9
33,34,T4_15,True,target,Filler-5923,9
34,35,T2_15,True,target,Target-149,9
35,36,T3_3,False,target,Filler-3739,9
36,37,T3_1,False,target,Filler-1491,9
37,38,T3_12,False,target,Filler-1161,9
38,39,T1_4,True,target,Filler-3966,9
39,40,T4_5,False,target,Filler-5666,9
40,41,T4_1,True,target,Filler-1587,9
41,42,T2_14,True,target,Filler-7343,9
42,43,T1_13,False,target,Filler-4071,9
43,44,T3_6,False,target,Filler-1080,9
44,45,T3_2,True,target,Filler-1856,9
45,46,T1_3,False,target,Filler-3034,9
46,47,T2_3,True,target,Filler-1552,9
47,48,T1_5,False,target,Filler-395,9
48,49,T4_8,True,target,Filler-826,9
49,50,T1_7,True,target,Filler-6140,9
50,51,T2_11,True,target,Filler-975,9
51,52,T4_12,False,target,Filler-6644,9
52,53,T4_13,True,target,Filler-1455,9
53,54,T2_13,True,target,Target-2103,9
54,55,T2_4,False,target,Filler-5836,9
55,56,T4_10,False,target,Filler-7632,9
